variant_number,variant_title,main_file,reference_file,stream_file,time_col,entity_id_col,category_col,value_col,status_col,join_key,pz31_notebook_file,pz32_notebook_file,consistency_note
1,Банковские транзакции и антифрод-мониторинг,variant_01_main.csv,variant_01_reference.csv,variant_01_stream.csv,timestamp,client_id,transaction_type,amount,status,client_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
2,Персонализация предложений маркетплейса,variant_02_main.csv,variant_02_reference.csv,variant_02_stream.csv,timestamp,user_id,event_type,price,,product_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
3,Логи цифровой образовательной платформы,variant_03_main.csv,variant_03_reference.csv,variant_03_stream.csv,event_time,student_id,event_type,duration_min,result_status,course_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
4,Телеметрия промышленного оборудования,variant_04_main.csv,variant_04_reference.csv,variant_04_stream.csv,event_time,machine_id,sensor_type,metric_value,alert_status,machine_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
5,Обращения граждан в цифровую приемную,variant_05_main.csv,variant_05_reference.csv,variant_05_stream.csv,created_at,citizen_id,topic,processing_days,status,topic,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
6,Маршруты городского общественного транспорта,variant_06_main.csv,variant_06_reference.csv,variant_06_stream.csv,event_time,route_id,vehicle_type,delay_min,status,route_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
7,Заказы и сроки доставки в логистике,variant_07_main.csv,variant_07_reference.csv,variant_07_stream.csv,created_at,order_id,delivery_region,actual_days,delivery_status,warehouse_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
8,Клиентская активность оператора связи,variant_08_main.csv,variant_08_reference.csv,variant_08_stream.csv,event_time,subscriber_id,service_type,usage_value,status,subscriber_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
9,Медицинские записи и результаты обследований,variant_09_main.csv,variant_09_reference.csv,variant_09_stream.csv,visit_time,patient_id,department,cost_rub,outcome_status,patient_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
10,События мобильного банковского приложения,variant_10_main.csv,variant_10_reference.csv,variant_10_stream.csv,event_time,user_id,event_type,session_duration_sec,status,user_id,PZ_3_3_1_BigData_Architecture_Template.ipynb,PZ_3_3_2_Data_Pipeline_Template.ipynb,"Вариант, имена файлов и ключевые колонки согласованы между ПЗ 3.3.1 и ПЗ 3.3.2."
