variant,dataset_file,theme,description,semantics,recommended_chunk_size,focus_question
1,9-1_dataset_variant_01.csv,Региональный e-commerce,"События заказов, оплат и статусов доставки в региональном интернет-магазине.","metric_volume — количество заказов; metric_value — сумма заказов; latency_ms — задержка обработки заказа.",50000,"Сравните batch, micro-batch и stream для обработки транзакционных событий."
2,9-1_dataset_variant_02.csv,Городской транспорт,"События поездок, валидаторов и остановок в крупном городском округе.","metric_volume — количество поездок; metric_value — выручка; latency_ms — задержка обработки транспортного события.",50000,"Оцените архитектуру обработки пиковых транспортных событий."
3,9-1_dataset_variant_03.csv,Агросенсоры и поля,"Телеметрия с агросенсоров: влажность, температура, состояние почвы в Херсонской области.","metric_volume — количество измерений; metric_value — агрегированное значение показателя; latency_ms — задержка доставки телеметрии.",50000,"Выберите архитектуру для агромониторинга и сезонных пиков."
4,9-1_dataset_variant_04.csv,Логистический хаб ЮФО,"События сортировки и перемещения грузов в логистическом хабе Южного федерального округа.","metric_volume — количество обработанных единиц; metric_value — суммарный объём/вес; latency_ms — задержка обновления статуса.",50000,"Проанализируйте узкие места сортировочного узла и SLA обновления статусов."
5,9-1_dataset_variant_05.csv,Медицинский регистратор,"Записи о приёмах, обращениях и электронных талонах в региональной сети медучреждений.","metric_volume — количество записей; metric_value — условный объём услуг; latency_ms — задержка регистрации события.",50000,"Разведите потоковые оповещения и пакетную отчётность."
6,9-1_dataset_variant_06.csv,Телеком-сессии,"События сессий связи и тарификации в многорегиональной телеком-сети.","metric_volume — количество сессий; metric_value — объём трафика; latency_ms — задержка обработки сессии.",50000,"Определите, когда локальная обработка перестаёт быть достаточной."
7,9-1_dataset_variant_07.csv,Госуслуги региона,"События использования цифровых госуслуг в Херсонской области.","metric_volume — количество обращений; metric_value — условный объём операций; latency_ms — задержка обработки запроса.",50000,"Обоснуйте микропакетную архитектуру для цифровых услуг."
8,9-1_dataset_variant_08.csv,Умный учёт электроэнергии,"Показания умных счётчиков электроэнергии в новом жилом районе.","metric_volume — количество показаний; metric_value — потреблённая энергия; latency_ms — задержка обработки показаний.",50000,"Сопоставьте стоимость потоковой и пакетной обработки начислений."
9,9-1_dataset_variant_09.csv,EdTech / LMS,"События активности пользователей образовательной платформы: входы, просмотры, тесты.","metric_volume — количество событий; metric_value — учебные метрики (баллы, длительность); latency_ms — задержка фиксации события.",50000,"Выделите контуры real-time аналитики и ночных расчётов."
10,9-1_dataset_variant_10.csv,Туризм и бронирование,"События бронирований, оплат и отмен турпакетов по южному направлению.","metric_volume — количество бронирований; metric_value — сумма заказов; latency_ms — задержка подтверждения или отмены.",50000,"Определите режим обработки пиков спроса и отмен."
11,9-1_dataset_variant_11.csv,Складская система,"События прихода, отгрузки и инвентаризации в распределительном складе.","metric_volume — количество операций; metric_value — количество единиц товара; latency_ms — задержка обновления складского статуса.",50000,"Выберите архитектуру обновления складских статусов."
12,9-1_dataset_variant_12.csv,Банковские операции,"События карточных и дистанционных банковских операций клиентов, включая платежи и транзакции.","metric_volume — количество операций; metric_value — сумма транзакций; latency_ms — задержка обработки банковской операции в миллисекундах.",50000,"Сформулируйте критерии перехода от локальной обработки к распределённой системе в банковских транзакциях."
13,9-1_dataset_variant_13.csv,Погодный мониторинг,"Измерения погодных параметров в степной зоне Юга России.","metric_volume — количество измерений; metric_value — значение погодного показателя; latency_ms — задержка доставки измерения.",50000,"Сопоставьте online-оповещение и batch-аналитику трендов."
14,9-1_dataset_variant_14.csv,Дорожные детекторы,"События от дорожных детекторов в транспортных коридорах: трафик, скорость, инциденты.","metric_volume — количество детектированных объектов/событий; metric_value — интенсивность потока; latency_ms — задержка фиксации события.",50000,"Покажите, какие события требуют минимальной задержки."
15,9-1_dataset_variant_15.csv,Орошение и мелиорация,"Телеметрия поливной сети и систем мелиорации в Херсонской области.","metric_volume — количество измерений; metric_value — объём поданной воды; latency_ms — задержка доставки данных мониторинга.",50000,"Обоснуйте архитектуру непрерывного мониторинга поливной сети."
