doc_id,topic,text
1,support,install service regional case resolution screen problem response ticket reset install support observed critical central account automatic response resolution reset resolution event support response internal account support ticket error reset
2,security,incident updated message internal policy auth critical time phishing incident blocked team regional daily user risk auth system risk regional primary suspicious platform risk certificate attack team policy message alert automatic regional breach spam login
3,security,policy login record primary login suspicious time suspicious process primary observed suspicious alert login message suspicious data team malware alert incident risk attack alert incident result incident analysis
4,support,data support regional ticket help device user data device ticket case issue install process targeted ticket help install task support account
5,sales,delivery customer review cart brand current review critical delivery session time session market internal manual user promo updated record event brand shop user internal customer brand campaign
6,analytics,experiment cluster vector value query external model observed pattern variance manual pattern session variance pipeline process pipeline score team forecast dataset experiment critical cluster dataset dataset pattern pipeline primary task pattern dataset session system vector observed feature model report
7,sales,product payment result market order payment discount cart message checkout regional price invoice internal price platform customer checkout cart platform cart checkout
8,sales,shop payment basket record analysis review promo promo market offer review session product user targeted user invoice analysis market daily central external analysis cart data review discount cart payment record payment delivery order discount observed customer platform process result
9,sales,platform daily market payment offer platform order review regional promo record promo shop value value delivery checkout checkout invoice order analysis payment
10,support,automatic help resolution primary task update issue message platform account platform daily install team user install session response device help ticket error reset
11,security,event blocked user observed message central blocked blocked observed value internal incident blocked auth data threat auth malware central suspicious task threat attack spam
12,security,result certificate threat daily attack analysis user primary alert domain analysis token event threat alert primary breach policy team message policy
13,analytics,experiment model signal variance trend trend system observed platform report session query vector external measure feature pipeline pipeline feature updated current experiment observed critical automatic platform segment report feature report
14,sales,campaign record manual invoice market discount system payment checkout central price system price message order observed brand review customer product discount
15,support,service case problem event problem manual problem process task platform message ticket manual install message task data device help issue ticket error reset
16,security,team threat risk record domain daily internal login manual certificate targeted task event platform token message malware token value domain data external login primary threat blocked primary platform time threat policy risk internal external
17,analytics,event variance signal experiment critical feature signal vector daily model cluster trend targeted signal analysis trend internal pattern daily value current variance metric system model pipeline
18,analytics,value result score vector variance variance score pipeline session report model segment forecast signal time measure value score signal forecast task variance manual cluster result observed data
19,sales,brand promo offer offer brand session delivery order promo review campaign external payment promo regional product customer payment record offer manual offer brand central session time discount promo updated process order cart
20,security,phishing risk token certificate login automatic firewall blocked auth alert updated alert message record system user alert firewall breach certificate breach domain updated attack blocked policy login url domain blacklist
21,sales,internal platform promo payment campaign order review offer market campaign team offer offer promo record shop offer promo event record customer product discount
22,security,spam external alert platform phishing system alert login system user malware risk time task token automatic login data risk malware threat auth spam attack incident result platform login breach session url domain blacklist
23,analytics,segment query vector feature pattern model critical pattern measure result variance segment report task metric signal team observed team automatic signal forecast vector query experiment feature model report
